,Compound_CID,IUPAC_Name,SMILES
37,11957499,"5-(methylamino)-2-[[(2S,3R,5R,6S,8R,9R)-3,5,9-trimethyl-2-[(2S)-1-oxo-1-(1H-pyrrol-2-yl)propan-2-yl]-1,7-dioxaspiro[5.5]undecan-8-yl]methyl]-1,3-benzoxazole-4-carboxylic acid",C[C@@H]1CC[C@]2([C@@H](C[C@H]([C@H](O2)[C@H](C)C(=O)C3=CC=CN3)C)C)O[C@@H]1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC
38,11979956,"(19E,21E,23E,25E,27E,29E,31E)-33-[(2R,3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy-17-[7-(4-aminophenyl)-5-hydroxy-7-oxoheptan-2-yl]-1,3,5,7,9,37-hexahydroxy-18-methyl-13,15-dioxo-16,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid;(19E,21E,23E,25E,27E,29E,31E)-33-[(2R,3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy-17-[7-(4-aminophenyl)-5-hydroxy-7-oxoheptan-2-yl]-1,3,5,9,11,37-hexahydroxy-18-methyl-13,15-dioxo-16,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC\2CC3C(C(CC(O3)(CC(CC(CCCC(CC(CC(=O)CC(=O)OC(C(/C=C/C=C/C=C/C=C/C=C/C=C/C=C2)C)C(C)CCC(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)O)C(=O)O)O)N)O.C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC\2CC3C(C(CC(O3)(CC(CC(CC(CC(CCCC(=O)CC(=O)OC(C(/C=C/C=C/C=C/C=C/C=C/C=C/C=C2)C)C(C)CCC(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)O)C(=O)O)O)N)O
39,102090444,(2S)-2-[[(2S)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-6-diazo-5-oxohexanoyl]amino]-6-diazo-5-oxohexanoic acid,C(CC(=O)N[C@@H](CCC(=O)C=[N+]=[N-])C(=O)N[C@@H](CCC(=O)C=[N+]=[N-])C(=O)O)[C@@H](C(=O)O)N
40,118984381,"(1R,3S,5R,7R,8E,14E,16E,18E,20E,22R,24S,25R,26S)-22-[(2R,3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy-12-butyl-1,3,26-trihydroxy-10-oxo-6,11,28-trioxatricyclo[22.3.1.05,7]octacosa-8,14,16,18,20-pentaene-25-carboxylic acid",CCCCC1C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@@H]3[C@H](O3)/C=C/C(=O)O1)O)O)O)C(=O)O)O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)C)O)N)O
41,16132338,"2-[[(2R)-2-[[(2S)-2-[[2-[[2-[[(2S,3S)-2-[[2-[[(2R)-5-amino-2-[[(2S)-2-[[(2S,3S)-2-[[(2R)-2-[[(2R)-2-[[(2R,3S)-2-[[(2R)-5-amino-2-[[(2R)-2-[[4-amino-2-[[(2S)-4-amino-2-[[(2Z,4Z)-octa-2,4-dienoyl]amino]-4-oxobutanoyl]amino]-4-oxobutanoyl]amino]-2-(4-hydroxycyclohexyl)acetyl]amino]pentanoyl]amino]-3-hydroxybutanoyl]amino]-2-(4-hydroxycyclohexyl)acetyl]amino]-2-(4-hydroxycyclohexyl)acetyl]amino]-3-hydroxybutanoyl]amino]-3-phenylpropanoyl]amino]pentanoyl]amino]-2-(4-hydroxycyclohexyl)acetyl]amino]-3-hydroxybutanoyl]amino]-2-(4-hydroxycyclohexyl)acetyl]amino]acetyl]amino]-4-methylpentanoyl]amino]propanoyl]amino]-2-(3-chloro-4-hydroxycyclohexyl)acetic acid",CCC/C=C\C=C/C(=O)N[C@@H](CC(=O)N)C(=O)NC(CC(=O)N)C(=O)N[C@H](C1CCC(CC1)O)C(=O)N[C@H](CCCN)C(=O)N[C@H]([C@H](C)O)C(=O)N[C@H](C2CCC(CC2)O)C(=O)N[C@H](C3CCC(CC3)O)C(=O)N[C@@H]([C@H](C)O)C(=O)N[C@@H](CC4=CC=CC=C4)C(=O)N[C@H](CCCN)C(=O)NC(C5CCC(CC5)O)C(=O)N[C@@H]([C@H](C)O)C(=O)NC(C6CCC(CC6)O)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C)C(=O)NC(C7CCC(C(C7)Cl)O)C(=O)O
42,123131953,"[(2S,3S,4S,6S)-6-[(2R,3R,4R,6S)-6-[(2R,3R,4R,6S)-6-[[(2S)-3-[(1S,3S,4R)-3,4-dihydroxy-1-methoxy-2-oxopentyl]-8,9-dihydroxy-6-[(2S,4R,5S,6R)-4-[(2R,4R,5R,6R)-4-hydroxy-5-methoxy-6-methyloxan-2-yl]oxy-6-methyl-5-propanoyloxyoxan-2-yl]oxy-7-methyl-1-oxo-3,4-dihydro-2H-anthracen-2-yl]oxy]-3-hydroxy-2-methyloxan-4-yl]oxy-3-hydroxy-2-methyloxan-4-yl]oxy-4-hydroxy-2,4-dimethyloxan-3-yl] 2-methylpropanoate",CCC(=O)O[C@H]1[C@H](O[C@H](C[C@H]1O[C@@H]2C[C@H]([C@H]([C@H](O2)C)OC)O)OC3=CC4=CC5=C(C(=O)[C@H](C(C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@H]([C@@H](O8)C)OC(=O)C(C)C)(C)O)C(=C4C(=C3C)O)O)C
43,6234,"(4R)-4-amino-1,2-oxazolidin-3-one",C1[C@H](C(=O)NO1)N
44,8378,"(2R,3S,4R,5R,6R)-5-amino-2-(aminomethyl)-6-[(1R,2R,3S,4R,6S)-4,6-diamino-2-[(2S,3R,4S,5R)-4-[(2R,3R,4R,5S,6S)-3-amino-6-(aminomethyl)-4,5-dihydroxyoxan-2-yl]oxy-3-hydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-3-hydroxycyclohexyl]oxyoxane-3,4-diol",C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
45,14969,"(1S,2R,18R,19R,22S,25R,28R,40S)-48-[(2S,3R,4S,5S,6R)-3-[(2S,4S,5S,6S)-4-amino-5-hydroxy-4,6-dimethyloxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-22-(2-amino-2-oxoethyl)-5,15-dichloro-2,18,32,35,37-pentahydroxy-19-[[(2R)-4-methyl-2-(methylamino)pentanoyl]amino]-20,23,26,42,44-pentaoxo-7,13-dioxa-21,24,27,41,43-pentazaoctacyclo[26.14.2.23,6.214,17.18,12.129,33.010,25.034,39]pentaconta-3,5,8(48),9,11,14,16,29(45),30,32,34(39),35,37,46,49-pentadecaene-40-carboxylic acid",C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
46,154925908,"[(1R,3R,7R,8S,9S,10R,12R,13R,14E,16S)-9-[(2S,3R,4R,5S,6R)-4-(dimethylamino)-3-hydroxy-5-[(2S,4R,5S,6S)-4-hydroxy-4,6-dimethyl-5-propanoyloxyoxan-2-yl]oxy-6-methyloxan-2-yl]oxy-13-hydroxy-8-methoxy-3,12-dimethyl-5-oxo-10-(2-oxoethyl)-4,17-dioxabicyclo[14.1.0]heptadec-14-en-7-yl] propanoate",CCC(=O)O[C@@H]1CC(=O)O[C@@H](C[C@@H]2[C@@H](O2)/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]1OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C)O[C@H]4C[C@@]([C@H]([C@@H](O4)C)OC(=O)CC)(C)O)N(C)C)O)CC=O)C)O)C
